amount,hour_of_day,is_new_recipient,agent_rolling_avg_amount,deviation_from_role_avg,txns_last_5min,counterparty_risk_tier,agent,is_anomaly,calibrated_score
53122.44,9,1,50753.72,0.1372,0,1,Treasury Agent,0,26.70367295603837
69764.28,13,0,50753.72,1.1014,0,1,Treasury Agent,0,2.3415389415453736
57111.19,11,0,50753.72,0.3683,1,1,Treasury Agent,0,4.641328538169532
71702.41,14,1,50753.72,1.2137,1,1,Treasury Agent,0,29.85481015368193
54641.13,0,0,50753.72,0.2252,0,1,Treasury Agent,0,22.46143754365478
62274.31,15,0,50753.72,0.6675,0,3,Treasury Agent,0,34.17942748986582
22749.46,16,0,50753.72,-1.6224,2,1,Treasury Agent,0,19.609979594054895
33673.9,12,0,50753.72,-0.9895,0,1,Treasury Agent,0,1.8170224477067398
37363.28,14,0,50753.72,-0.7758,1,1,Treasury Agent,0,6.46429003750133
24787.52,17,0,50753.72,-1.5044,2,1,Treasury Agent,0,19.884996598039905
33967.45,11,0,50753.72,-0.9725,0,1,Treasury Agent,0,1.2415173942381008
26060.09,10,0,50753.72,-1.4306,1,1,Treasury Agent,0,8.343255889165368
36678.42,16,0,50753.72,-0.8155,2,1,Treasury Agent,0,14.587743925058462
58141.07,14,0,50753.72,0.428,0,1,Treasury Agent,0,1.5309039430451254
41889.93,22,0,50753.72,-0.5135,1,1,Treasury Agent,0,18.564936361830608
42210.86,10,0,50753.72,-0.4949,0,1,Treasury Agent,0,1.4037100210798181
32570.42,10,0,50753.72,-1.0535,3,1,Treasury Agent,0,20.565169541453308
36018.67,15,0,50753.72,-0.8537,0,1,Treasury Agent,0,3.128811125155395
76199.28,16,0,50753.72,1.4742,0,1,Treasury Agent,0,6.682962269210835
58882.12,17,0,50753.72,0.4709,0,1,Treasury Agent,0,3.685270112738881
56547.86,14,0,50753.72,0.3357,0,1,Treasury Agent,0,1.426708654327713
30268.32,22,0,50753.72,-1.1868,0,1,Treasury Agent,0,16.59963052175304
63747.61,13,0,50753.72,0.7528,1,1,Treasury Agent,0,5.007160134444955
29804.15,6,1,50753.72,-1.2137,0,1,Treasury Agent,0,34.837639852687076
42767.33,11,0,50753.72,-0.4627,0,1,Treasury Agent,0,0.3583262973949508
79371.4,15,0,50753.72,1.658,1,1,Treasury Agent,0,12.226283230490386
58399.99,14,0,50753.72,0.443,0,2,Treasury Agent,0,14.426597090752457
53416.98,17,1,50753.72,0.1543,0,1,Treasury Agent,0,26.422090743783542
61076.86,6,0,50753.72,0.5981,0,2,Treasury Agent,0,22.54601126372685
70571.12,12,0,50753.72,1.1481,0,1,Treasury Agent,0,2.6566086267331146
66559.99,17,0,50753.72,0.9157,1,2,Treasury Agent,0,21.344323817717548
33742.88,6,0,50753.72,-0.9855,0,1,Treasury Agent,0,11.187049077587986
21926.01,11,0,50753.72,-1.6702,1,2,Treasury Agent,0,21.37073912522546
38927.18,16,1,50753.72,-0.6852,0,1,Treasury Agent,0,26.077603794456962
36064.45,13,0,50753.72,-0.851,1,1,Treasury Agent,0,5.8960473565231375
32658.97,16,0,50753.72,-1.0483,0,1,Treasury Agent,0,4.349190432428673
76574.58,16,0,50753.72,1.4959,0,1,Treasury Agent,0,7.079552925617849
72582.06,11,0,50753.72,1.2646,1,1,Treasury Agent,0,6.793217314646515
38880.67,16,0,50753.72,-0.6879,0,1,Treasury Agent,0,3.178874288574507
59326.32,10,0,50753.72,0.4967,1,1,Treasury Agent,0,6.316672559341397
43737.91,11,0,50753.72,-0.4065,0,2,Treasury Agent,0,13.057180516343902
74872.86,14,0,50753.72,1.3974,0,1,Treasury Agent,0,4.639353233526311
47531.11,15,0,50753.72,-0.1867,0,1,Treasury Agent,0,1.4907227745344143
35892.81,14,0,50753.72,-0.861,0,1,Treasury Agent,0,2.6478722338347693
34797.65,11,0,50753.72,-0.9244,0,1,Treasury Agent,0,1.2109419351472694
53682.09,9,0,50753.72,0.1697,1,1,Treasury Agent,0,7.504934585682587
35764.5,17,0,50753.72,-0.8684,1,1,Treasury Agent,0,10.377474588935486
55075.16,12,0,50753.72,0.2504,1,1,Treasury Agent,0,4.351131082238879
73869.37,16,0,50753.72,1.3392,0,1,Treasury Agent,0,5.856486132573768
43964.03,11,0,50753.72,-0.3934,0,1,Treasury Agent,0,0.0
33159.25,11,0,50753.72,-1.0193,0,3,Treasury Agent,0,30.320577208304446
79852.26,23,0,50753.72,1.6858,1,1,Treasury Agent,0,27.33683674064182
50571.58,22,1,50753.72,-0.0106,0,1,Treasury Agent,0,35.53789320483139
25454.56,14,0,50753.72,-1.4657,0,1,Treasury Agent,0,4.584013005725229
22826.98,14,0,50753.72,-1.618,0,1,Treasury Agent,0,7.108503485164997
26578.95,16,0,50753.72,-1.4006,0,1,Treasury Agent,0,6.151859822169092
57646.76,16,1,50753.72,0.3994,0,1,Treasury Agent,0,25.62266176061717
67524.76,14,0,50753.72,0.9716,0,3,Treasury Agent,0,33.2804756664043
45329.6,13,1,50753.72,-0.3143,0,1,Treasury Agent,0,21.767137052125584
23811.66,9,0,50753.72,-1.5609,0,1,Treasury Agent,0,7.265963354471849
42897.16,15,0,50753.72,-0.4552,2,1,Treasury Agent,0,13.075378965887774
79767.28,16,0,50753.72,1.6809,0,1,Treasury Agent,0,8.968133912103548
51746.86,10,0,50753.72,0.0575,0,1,Treasury Agent,0,1.7957984695074147
78264.7,17,0,50753.72,1.5939,0,1,Treasury Agent,0,8.490429775285834
71646.78,16,0,50753.72,1.2105,0,1,Treasury Agent,0,5.311199419741131
20688.86,9,0,50753.72,-1.7418,2,1,Treasury Agent,0,19.627371938215354
63243.31,9,1,50753.72,0.7236,0,1,Treasury Agent,0,27.686328727891695
60902.62,11,0,50753.72,0.588,0,1,Treasury Agent,0,0.7940601818178461
52218.22,9,0,50753.72,0.0848,0,1,Treasury Agent,0,3.277558272070258
36009.51,9,0,50753.72,-0.8542,0,2,Treasury Agent,0,17.6187067839883
58457.71,10,0,50753.72,0.4463,0,1,Treasury Agent,0,1.6394037081352342
26693.13,12,0,50753.72,-1.394,0,1,Treasury Agent,0,3.1766115935540573
46085.92,17,0,50753.72,-0.2704,1,1,Treasury Agent,0,8.05266620302717
47223.42,13,0,50753.72,-0.2045,3,1,Treasury Agent,0,19.799299967824435
77228.96,10,0,50753.72,1.5339,2,1,Treasury Agent,0,15.534629322617267
72551.18,14,0,50753.72,1.2629,1,1,Treasury Agent,0,7.90632585848493
35803.34,13,0,50753.72,-0.8662,1,2,Treasury Agent,0,18.19373825732408
50035.17,14,0,50753.72,-0.0416,0,1,Treasury Agent,0,1.165283564303976
30719.11,16,1,50753.72,-1.1607,0,1,Treasury Agent,0,28.731999314201307
74757.67,17,0,50753.72,1.3907,2,1,Treasury Agent,0,18.755865276969274
72231.11,16,0,50753.72,1.2443,1,2,Treasury Agent,0,21.882583161263113
37906.69,6,0,50753.72,-0.7443,0,1,Treasury Agent,0,11.010065567307981
58336.97,17,0,50753.72,0.4393,0,3,Treasury Agent,0,35.605934659019454
56538.21,9,0,50753.72,0.3351,0,1,Treasury Agent,0,3.1926041901789604
29170.36,12,0,50753.72,-1.2504,2,2,Treasury Agent,0,25.29573014725165
65750.65,13,0,50753.72,0.8689,2,1,Treasury Agent,0,12.095369202311224
52362.74,17,1,50753.72,0.0932,0,1,Treasury Agent,0,26.35779566417137
66717.59,11,0,50753.72,0.9249,1,1,Treasury Agent,0,5.567729641621799
51821.22,9,0,50753.72,0.0618,0,1,Treasury Agent,0,3.3967652024812556
20034.31,13,0,50753.72,-1.7798,1,1,Treasury Agent,0,10.96300042517785
39449.36,16,0,50753.72,-0.6549,0,1,Treasury Agent,0,2.987071859340873
21168.6,12,0,50753.72,-1.714,0,1,Treasury Agent,0,7.163384583691467
75745.92,0,0,50753.72,1.4479,0,1,Treasury Agent,0,24.98746323346723
72723.31,11,0,50753.72,1.2728,1,1,Treasury Agent,0,6.793217314646515
69899.93,15,0,50753.72,1.1092,0,1,Treasury Agent,0,3.9653149594461534
38450.85,16,0,50753.72,-0.7128,0,1,Treasury Agent,0,3.2438206629982758
23475.51,22,0,50753.72,-1.5804,0,3,Treasury Agent,0,46.76857831383057
72680.58,14,0,50753.72,1.2703,1,1,Treasury Agent,0,7.90632585848493
76816.97,17,0,50753.72,1.51,1,1,Treasury Agent,0,12.542676040265622
25139.21,15,0,50753.72,-1.484,3,1,Treasury Agent,0,25.104001322968994
49159.43,9,0,50753.72,-0.0924,0,2,Treasury Agent,0,15.910236189411176
24152.75,13,0,50753.72,-1.5411,1,1,Treasury Agent,0,8.837761017795398
65636.13,14,0,50753.72,0.8622,0,1,Treasury Agent,0,2.1249691327959397
65950.07,12,0,50753.72,0.8804,0,1,Treasury Agent,0,1.2551398345128417
27703.49,17,0,50753.72,-1.3354,3,1,Treasury Agent,0,27.336266079894312
48516.94,10,0,50753.72,-0.1296,1,1,Treasury Agent,0,5.556194255635683
52988.22,11,0,50753.72,0.1295,0,1,Treasury Agent,0,0.523942843217795
35903.4,1,0,50753.72,-0.8604,1,1,Treasury Agent,0,27.161669111750854
72345.98,17,0,50753.72,1.251,2,1,Treasury Agent,0,17.803484982539363
45388.28,13,0,50753.72,-0.3109,0,1,Treasury Agent,0,0.30736982406662783
32707.89,13,0,50753.72,-1.0455,0,1,Treasury Agent,0,1.3876685421225665
52357.77,15,0,50753.72,0.0929,1,1,Treasury Agent,0,6.204444279090648
63795.86,9,0,50753.72,0.7556,0,1,Treasury Agent,0,3.8934443950197295
32069.06,12,0,50753.72,-1.0825,0,1,Treasury Agent,0,1.774176092381785
38702.98,15,0,50753.72,-0.6982,0,1,Treasury Agent,0,2.4889241066516354
79708.96,10,0,50753.72,1.6775,0,1,Treasury Agent,0,6.314643433535705
58992.68,12,0,50753.72,0.4773,1,2,Treasury Agent,0,17.4723686667584
46286.01,9,0,50753.72,-0.2588,0,1,Treasury Agent,0,3.2520143283917835
51054.55,16,0,50753.72,0.0174,0,1,Treasury Agent,0,2.21083688893835
27260.25,14,0,50753.72,-1.3611,0,2,Treasury Agent,0,18.05669749712573
33481.84,13,0,50753.72,-1.0007,0,1,Treasury Agent,0,1.5094515278755272
40285.13,12,0,50753.72,-0.6065,3,1,Treasury Agent,0,20.535564955252728
55298.52,16,0,50753.72,0.2633,0,2,Treasury Agent,0,16.330671164692234
33806.88,13,0,50753.72,-0.9818,0,1,Treasury Agent,0,1.487455106321811
33213.04,15,0,50753.72,-1.0162,2,2,Treasury Agent,0,26.88118130614359
24259.59,13,0,50753.72,-1.535,0,2,Treasury Agent,0,17.87655598446666
57866.18,16,0,50753.72,0.4121,1,1,Treasury Agent,0,7.166833772697212
33736.51,13,0,50753.72,-0.9859,0,1,Treasury Agent,0,1.487455106321811
74325.2,17,0,50753.72,1.3656,0,1,Treasury Agent,0,7.156329712306675
71578.12,16,0,50753.72,1.2065,1,1,Treasury Agent,0,9.942023388556965
24251.44,11,0,50753.72,-1.5354,2,2,Treasury Agent,0,27.34198473658809
34280.28,12,0,50753.72,-0.9544,0,1,Treasury Agent,0,1.7399024590628476
60138.67,0,0,50753.72,0.5437,0,1,Treasury Agent,0,23.673120490734835
32854.21,9,0,50753.72,-1.037,0,2,Treasury Agent,0,17.921202403605307
27938.71,9,0,50753.72,-1.3218,0,1,Treasury Agent,0,4.530657259239135
76130.85,13,0,50753.72,1.4702,0,1,Treasury Agent,0,3.762531087100296
54262.59,14,0,50753.72,0.2033,3,1,Treasury Agent,0,20.105530774326642
48360.26,11,0,50753.72,-0.1387,0,1,Treasury Agent,0,0.04715482297409368
67077.17,11,0,50753.72,0.9457,0,1,Treasury Agent,0,1.4582610981810573
68449.82,6,0,50753.72,1.0252,0,1,Treasury Agent,0,12.402207113119756
31424.59,15,0,50753.72,-1.1198,0,1,Treasury Agent,0,3.812431226826274
25815.85,11,0,50753.72,-1.4448,0,2,Treasury Agent,0,16.770213955168202
45863.07,22,0,50753.72,-0.2833,1,3,Treasury Agent,0,48.477017115294785
45414.72,9,0,50753.72,-0.3093,0,1,Treasury Agent,0,3.1182848447346756
48021.48,16,0,50753.72,-0.1583,0,1,Treasury Agent,0,2.146381809032394
63744.55,13,0,50753.72,0.7526,0,2,Treasury Agent,0,14.153072467307293
60401.87,12,0,50753.72,0.559,0,1,Treasury Agent,0,0.8676717003970547
79049.91,14,0,50753.72,1.6394,0,1,Treasury Agent,0,6.589736787399403
25905.07,12,0,50753.72,-1.4396,0,1,Treasury Agent,0,3.2436293633232416
44157.28,17,0,50753.72,-0.3822,1,1,Treasury Agent,0,8.06780001774744
40358.16,9,0,50753.72,-0.6023,2,1,Treasury Agent,0,14.02894205641868
71700.35,11,0,50753.72,1.2136,0,1,Treasury Agent,0,2.4940962327895
34919.38,16,1,50753.72,-0.9174,0,2,Treasury Agent,0,39.24825264409036
31412.53,17,0,50753.72,-1.1205,0,1,Treasury Agent,0,6.437133421031693
46916.81,13,0,50753.72,-0.2223,0,2,Treasury Agent,0,13.231094742202377
45312.9,10,1,50753.72,-0.3152,0,1,Treasury Agent,0,24.385248602653466
36712.71,10,0,50753.72,-0.8135,0,1,Treasury Agent,0,2.003126310797676
34988.39,11,0,50753.72,-0.9134,3,1,Treasury Agent,0,20.482675111956627
75395.94,15,0,50753.72,1.4277,2,1,Treasury Agent,0,16.010836936772264
46587.84,17,0,50753.72,-0.2414,1,1,Treasury Agent,0,8.189564000390636
71680.95,15,0,50753.72,1.2124,1,1,Treasury Agent,0,8.837550276460782
53019.52,0,0,50753.72,0.1313,0,1,Treasury Agent,0,22.66451149602299
23035.3,15,0,50753.72,-1.6059,0,1,Treasury Agent,0,7.622668655815989
79956.95,10,1,50753.72,1.6919,0,1,Treasury Agent,0,28.163544195230273
70161.66,9,0,50753.72,1.1244,0,1,Treasury Agent,0,5.125449354798295
78139.78,9,0,50753.72,1.5866,0,1,Treasury Agent,0,7.749780403519891
75582.02,9,0,50753.72,1.4384,3,1,Treasury Agent,0,25.055979960617957
70921.74,14,0,50753.72,1.1684,1,2,Treasury Agent,0,19.042379916233376
29978.67,11,0,50753.72,-1.2036,0,1,Treasury Agent,0,1.7539194884996445
49138.47,17,0,50753.72,-0.0936,1,2,Treasury Agent,0,21.58885920902527
32824.84,15,0,50753.72,-1.0387,0,1,Treasury Agent,0,3.31886559856831
44062.42,15,0,50753.72,-0.3877,0,1,Treasury Agent,0,1.681307356246442
23518.12,15,0,50753.72,-1.5779,0,1,Treasury Agent,0,6.9822131475288485
42738.39,11,0,50753.72,-0.4644,2,1,Treasury Agent,0,11.361466456501967
79118.53,17,0,50753.72,1.6433,0,1,Treasury Agent,0,9.654329969033649
35912.18,10,0,50753.72,-0.8599,1,1,Treasury Agent,0,6.693521853236939
67044.24,12,1,50753.72,0.9438,0,1,Treasury Agent,0,23.7847643519723
47300.5,0,0,50753.72,-0.2001,1,1,Treasury Agent,0,27.6356680543725
45380.45,16,0,50753.72,-0.3113,2,1,Treasury Agent,0,13.891367341974304
77439.06,12,0,50753.72,1.546,3,1,Treasury Agent,0,22.752618731595565
79725.36,16,0,50753.72,1.6785,0,1,Treasury Agent,0,8.869917770005053
53346.1,12,0,50753.72,0.1502,1,1,Treasury Agent,0,4.607682809675751
63104.5,14,0,50753.72,0.7156,0,2,Treasury Agent,0,14.773396884170998
29287.81,16,0,50753.72,-1.2436,0,1,Treasury Agent,0,5.382109887444864
37802.47,9,0,50753.72,-0.7503,0,1,Treasury Agent,0,3.900810790719622
78122.56,15,0,50753.72,1.5856,0,1,Treasury Agent,0,6.271434967976564
54750.82,12,0,50753.72,0.2316,0,1,Treasury Agent,0,0.5839982764751062
52531.71,16,0,50753.72,0.103,0,1,Treasury Agent,0,2.2830762500350765
64878.53,14,0,50753.72,0.8183,1,1,Treasury Agent,0,5.934572749335231
23429.92,17,0,50753.72,-1.583,2,1,Treasury Agent,0,20.87320004364146
55050.66,10,0,50753.72,0.2489,0,1,Treasury Agent,0,1.4047438652062927
50171.02,12,1,50753.72,-0.0338,0,1,Treasury Agent,0,22.308249087682608
71163.19,9,0,50753.72,1.1824,0,1,Treasury Agent,0,5.509027046579629
29445.96,16,1,50753.72,-1.2345,0,1,Treasury Agent,0,28.6460313841267
77646.73,6,0,50753.72,1.5581,0,1,Treasury Agent,0,14.564669120668782
24806.69,15,0,50753.72,-1.5033,2,1,Treasury Agent,0,16.757953835316453
31149.5,11,0,50753.72,-1.1358,0,1,Treasury Agent,0,1.5746039877674978
55702.11,15,1,50753.72,0.2867,2,1,Treasury Agent,0,33.643196211405254
60512.75,12,0,50753.72,0.5654,1,1,Treasury Agent,0,4.7958710503229085
34112.23,9,1,50753.72,-0.9641,0,1,Treasury Agent,0,28.567930324825852
27193.2,0,0,50753.72,-1.365,0,2,Treasury Agent,0,34.62251394021738
73417.24,14,0,50753.72,1.313,1,1,Treasury Agent,0,8.290448445778342
34772.92,9,0,50753.72,-0.9259,2,1,Treasury Agent,0,14.090122786447857
55671.15,13,1,50753.72,0.2849,0,2,Treasury Agent,0,32.82953265602707
57162.89,9,0,50753.72,0.3713,1,1,Treasury Agent,0,7.744157570675714
45153.49,11,0,50753.72,-0.3245,1,1,Treasury Agent,0,4.079541479160587
55020.34,1,0,50753.72,0.2472,0,2,Treasury Agent,0,30.862469135474303
51366.96,17,0,50753.72,0.0355,1,1,Treasury Agent,0,8.377420423506477
76082.38,10,0,50753.72,1.4674,3,1,Treasury Agent,0,23.306324515627253
32255.55,10,0,50753.72,-1.0717,1,3,Treasury Agent,0,35.893069216755066
62971.51,14,1,50753.72,0.7078,0,3,Treasury Agent,0,47.34795106696815
34321.16,14,0,50753.72,-0.952,0,1,Treasury Agent,0,2.776420971889648
43747.15,15,1,50753.72,-0.4059,0,1,Treasury Agent,0,23.33049564892553
60301.41,10,0,50753.72,0.5532,0,1,Treasury Agent,0,2.1614202679992367
37999.82,15,0,50753.72,-0.7389,0,1,Treasury Agent,0,2.7469686373838065
38970.63,14,0,50753.72,-0.6827,0,1,Treasury Agent,0,1.956202458553602
65111.87,17,0,50753.72,0.8318,0,1,Treasury Agent,0,4.5390811005407645
24352.59,10,0,50753.72,-1.5296,1,2,Treasury Agent,0,22.576046510329263
47497.13,22,0,50753.72,-0.1887,0,2,Treasury Agent,0,30.459942545542052
79907.27,12,0,50753.72,1.689,0,1,Treasury Agent,0,5.989790280438745
79765.79,13,0,50753.72,1.6808,0,1,Treasury Agent,0,6.00507230819971
24395.64,13,0,50753.72,-1.5271,0,1,Treasury Agent,0,4.39056763085487
32789.26,16,0,50753.72,-1.0408,0,1,Treasury Agent,0,4.349190432428673
35912.02,15,0,50753.72,-0.8599,0,2,Treasury Agent,0,16.92781013717306
75995.56,14,0,50753.72,1.4624,1,1,Treasury Agent,0,8.691898469194559
72851.85,13,0,50753.72,1.2803,2,1,Treasury Agent,0,13.24490054355757
72756.21,15,0,50753.72,1.2747,0,1,Treasury Agent,0,4.682627153396823
42171.63,12,0,50753.72,-0.4972,0,1,Treasury Agent,0,0.7669571465919733
29464.81,12,0,50753.72,-1.2334,0,1,Treasury Agent,0,2.56008054499286
70024.7,16,0,50753.72,1.1165,0,1,Treasury Agent,0,4.860699757515762
62212.4,10,0,50753.72,0.6639,1,1,Treasury Agent,0,6.311750357556378
56700.67,13,0,50753.72,0.3445,0,1,Treasury Agent,0,0.588112050958145
79233.98,10,0,50753.72,1.65,0,1,Treasury Agent,0,6.068391946718831
59238.58,15,0,50753.72,0.4916,1,1,Treasury Agent,0,6.633783446658192
20469.39,17,0,50753.72,-1.7545,2,1,Treasury Agent,0,22.469758575995236
69026.25,14,0,50753.72,1.0586,0,1,Treasury Agent,0,2.936092678996416
37962.73,15,0,50753.72,-0.7411,0,1,Treasury Agent,0,2.7469686373838065
59803.32,10,0,50753.72,0.5243,0,1,Treasury Agent,0,2.2897016102807033
76335.8,12,0,50753.72,1.4821,0,1,Treasury Agent,0,3.939007115954851
28057.47,17,0,50753.72,-1.3149,3,1,Treasury Agent,0,26.909680882269605
26925.72,10,0,50753.72,-1.3805,2,1,Treasury Agent,0,14.260549935467271
26422.16,16,0,50753.72,-1.4097,0,1,Treasury Agent,0,6.2647078104087095
53193.42,16,0,50753.72,0.1413,0,2,Treasury Agent,0,16.443042346502324
36340.89,14,0,50753.72,-0.835,0,1,Treasury Agent,0,2.526061362283283
56289.79,12,0,50753.72,0.3207,0,1,Treasury Agent,0,0.5618583552861933
63056.73,16,0,50753.72,0.7128,0,1,Treasury Agent,0,3.181445911838654
32215.84,15,0,50753.72,-1.074,1,2,Treasury Agent,0,21.06816899159607
58054.28,15,0,50753.72,0.423,1,1,Treasury Agent,0,6.352379764264948
35839.03,10,0,50753.72,-0.8641,1,1,Treasury Agent,0,6.605891363196015
49311.91,12,0,50753.72,-0.0835,0,2,Treasury Agent,0,14.086600602586586
74320.19,14,0,50753.72,1.3653,0,1,Treasury Agent,0,4.41885261070426
70766.22,16,0,50753.72,1.1594,1,1,Treasury Agent,0,9.863893659743162
25537.91,10,0,50753.72,-1.4609,0,1,Treasury Agent,0,3.535612697296031
45414.55,14,0,50753.72,-0.3093,0,1,Treasury Agent,0,1.237531990964269
36600.81,15,0,50753.72,-0.82,0,1,Treasury Agent,0,3.0437820413018013
20212.74,11,0,50753.72,-1.7694,0,1,Treasury Agent,0,7.047828391226629
66267.15,16,0,50753.72,0.8988,1,3,Treasury Agent,0,38.09890615237648
58226.8,12,0,50753.72,0.433,3,1,Treasury Agent,0,19.853371055174986
35717.32,16,0,50753.72,-0.8711,1,1,Treasury Agent,0,9.068902008090662
64473.85,9,0,50753.72,0.7949,0,1,Treasury Agent,0,3.8579546593410896
53100.83,13,0,50753.72,0.136,0,1,Treasury Agent,0,0.49567035470906573
45661.22,17,0,50753.72,-0.295,0,1,Treasury Agent,0,3.3513312293424247
20580.18,14,0,50753.72,-1.7481,1,1,Treasury Agent,0,12.084041874660345
24514.63,12,0,50753.72,-1.5202,0,2,Treasury Agent,0,17.820856497498383
72986.38,13,0,50753.72,1.2881,0,1,Treasury Agent,0,2.8678069373183956
74235.71,10,0,50753.72,1.3604,3,1,Treasury Agent,0,22.808297292165914
52735.42,14,0,50753.72,0.1148,0,1,Treasury Agent,0,1.4915298474067806
70075.7,12,0,50753.72,1.1194,1,1,Treasury Agent,0,6.342774531890627
54950.57,17,0,50753.72,0.2431,3,1,Treasury Agent,0,24.48396448524669
28885.63,17,0,50753.72,-1.2669,0,1,Treasury Agent,0,6.805754264648344
27646.73,15,0,50753.72,-1.3387,3,2,Treasury Agent,0,34.720774718173054
38495.5,11,0,50753.72,-0.7102,1,2,Treasury Agent,0,17.254492167134362
73938.89,15,0,50753.72,1.3432,0,1,Treasury Agent,0,5.03467314755548
67767.34,16,1,50753.72,0.9857,1,1,Treasury Agent,0,30.274265839263993
71642.15,13,0,50753.72,1.2102,1,1,Treasury Agent,0,6.7839059981494865
73935.48,9,0,50753.72,1.3431,1,1,Treasury Agent,0,10.349974724871458
32604.59,14,0,50753.72,-1.0515,1,1,Treasury Agent,0,7.4250964086926
34971.78,12,0,50753.72,-0.9143,0,1,Treasury Agent,0,1.6987310683384216
26167.62,11,0,50753.72,-1.4244,0,1,Treasury Agent,0,2.577144877800841
66806.97,9,1,50753.72,0.9301,0,2,Treasury Agent,0,36.64663548573914
73048.08,1,0,50753.72,1.2916,0,3,Treasury Agent,0,47.593480663551155
44382.64,11,0,50753.72,-0.3691,0,2,Treasury Agent,0,13.053352195083246
57239.69,10,0,50753.72,0.3758,0,1,Treasury Agent,0,1.7563529876710393
29273.2,11,1,50753.72,-1.2445,0,1,Treasury Agent,0,25.083314549500813
75792.86,15,0,50753.72,1.4507,1,1,Treasury Agent,0,9.648293525570784
71876.34,11,0,50753.72,1.2238,0,1,Treasury Agent,0,2.5929282621039107
78572.36,6,0,50753.72,1.6117,3,1,Treasury Agent,0,31.958465430972684
68646.3,10,0,50753.72,1.0366,0,2,Treasury Agent,0,15.548552999496156
72884.97,14,0,50753.72,1.2822,0,1,Treasury Agent,0,3.948745166165335
21487.18,11,0,50753.72,-1.6956,0,1,Treasury Agent,0,5.8765061814593285
64193.87,11,0,50753.72,0.7787,1,1,Treasury Agent,0,5.180711724209964
39931.13,15,0,50753.72,-0.627,0,1,Treasury Agent,0,2.3463524254619728
75848.95,11,0,50753.72,1.4539,0,1,Treasury Agent,0,3.8041320662672184
68134.11,14,0,50753.72,1.0069,0,1,Treasury Agent,0,2.535496944382387
71843.84,13,0,50753.72,1.2219,0,2,Treasury Agent,0,15.270872192901741
68644.96,13,0,50753.72,1.0365,0,1,Treasury Agent,0,1.568528472060493
36008.34,9,0,50753.72,-0.8543,1,1,Treasury Agent,0,8.231132924172647
